,protein_name
29914,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase ; IMP cyclohydrolase ]
29915,Bifunctional uridylyltransferase/uridylyl-removing enzyme [Includes: [Protein-PII] uridylyltransferase ; [Protein-PII]-UMP uridylyl-removing ]
29916,Biosynthetic arginine decarboxylase
29917,Biotin synthase
29918,"Bis-tetraphosphatase, symmetrical"
29919,Branched-chain-amino-acid aminotransferase
29920,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
29921,CMP-N-acetylneuraminic acid synthetase
29922,CTP synthase
29923,Carbamoyl phosphate synthase large chain
29924,Carbonic anhydrase
29925,Carboxy terminal-processing peptidase
29926,Catalase
29927,Catalase-peroxidase 2
29928,Chaperone SurA
29929,Chemotaxis protein methyltransferase
29930,Chloramphenicol acetyltransferase
29931,Chorismate mutase
29932,Chorismate synthase
29933,Citrate -synthase
29934,Cobaltochelatase subunit CobN
29935,Coenzyme A biosynthesis bifunctional protein CoaBC [Includes: Phosphopantothenoylcysteine decarboxylase ; Phosphopantothenate--cysteine ligase ]
29936,Copper/silver-translocating P-type ATPase
29937,Coproporphyrinogen III oxidase
29938,"Corrinoid adenosyltransferase alamin adenosyltransferase) yrinic acid a,c-diamide"
29939,Cupin domain-containing protein
29940,Cyclopropane-fatty-acyl-phospholipid synthase
29941,Cystathionine beta-lyase
29942,Cystathionine gamma-synthase
29943,Cysteine desulfurase IscS
29944,Cysteine synthase
29945,Cysteine--tRNA ligase
29946,Cytidine deaminase
29947,Cytochrome b6
29948,Cytochrome c biogenesis ATP-binding export protein CcmA
29949,Cytochrome c-552
29950,"Cytochrome-c oxidase, cbb3-type subunit II"
29951,Cytosine deaminase
29952,D-3-phosphoglycerate dehydrogenase
29953,D-alanine--D-alanine ligase
29954,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase Xfp
29955,DNA -methyltransferase
29956,DNA ligase
29957,DNA ligase ])
29958,DNA polymerase IV
29959,DNA topoisomerase 1
29960,DNA-3-methyladenine glycosylase I
29961,DNA-3-methyladenine glycosylase II
29962,DNA-directed RNA polymerase subunit beta'
29963,Delta-aminolevulinic acid dehydratase
29964,Deoxyribodipyrimidine photo-lyase
29965,Deoxyribose-phosphate aldolase
29966,Deoxyuridine 5'-triphosphate nucleotidohydrolase
29967,Dephospho-CoA kinase
29968,Diacylglycerol kinase
29969,Diaminopimelate decarboxylase
29970,Diaminopimelate epimerase
29971,Dienelactone hydrolase-like enzyme
29972,Dihydrofolate reductase
29973,Dihydrofolate synthase/folylpolyglutamate synthase
29974,Dihydrolipoyl dehydrogenase
29975,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
29976,Dihydroorotase
29977,Dihydroorotate dehydrogenase
29978,Dihydropteroate synthase
29979,Dihydroxy-acid dehydratase
29980,Dipeptidyl-peptidase IV
29981,"Ditrans,polycis-undecaprenyl-diphosphate synthase -farnesyl-diphosphate specific)"
29982,Dual-specificity RNA methyltransferase RlmN -C)-methyltransferase)
29983,Dual-specificity RNA pseudouridine synthase RluA synthase)
29984,Electron transfer flavoprotein-ubiquinone oxidoreductase
29985,Endonuclease I
29986,Endothelin-converting enzyme
29987,Enolase
29988,Enolase-phosphatase E1
29989,Enoyl-[acyl-carrier-protein] reductase [NADH]
29990,Epoxyqueuosine reductase
29991,Erythronate-4-phosphate dehydrogenase
29992,Exodeoxyribonuclease 7 large subunit
29993,Exodeoxyribonuclease I
29994,Exodeoxyribonuclease III
29995,Exopolyphosphatase
29996,Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta-cis-Delta-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase ; 3-hydroxyacyl-CoA dehydrogenase ]
29997,Ferritin
29998,Flavohemoprotein
29999,Formamidopyrimidine-DNA glycosylase lyase MutM)
30000,Formate acetyltransferase
30001,Formate dehydrogenase
30002,Formate--tetrahydrofolate ligase
30003,Formyltetrahydrofolate deformylase hydrolase)
30004,Fructokinase
30005,"Fructose-1,6-bisphosphatase class 1"
30006,"Fructose-1,6-bisphosphate aldolase"
30007,Fumarate hydratase class II
30008,Fumarate reductase flavoprotein subunit
30009,GMP synthase [glutamine-hydrolyzing]
30010,GTP cyclohydrolase 1
30011,GTP cyclohydrolase-2
30012,GTP diphosphokinase
30013,Galactokinase
30014,Gamma-glutamyl phosphate reductase
30015,Geranyltranstransferase
30016,"Glucan 1,4-alpha-glucosidase"
30017,Glucosamine kinase GspK
30018,Glucose-1-phosphate adenylyltransferase
30019,Glucose-1-phosphate thymidylyltransferase
30020,Glucose-6-phosphate 1-dehydrogenase
30021,Glucose-6-phosphate isomerase
30022,Glutamate 5-kinase
30023,Glutamate decarboxylase
30024,Glutamate dehydrogenase
30025,Glutamate racemase
30026,Glutamate synthase large subunit
30027,Glutamate--cysteine ligase
30028,Glutamate--tRNA ligase
30029,"Glutamate-1-semialdehyde 2,1-aminomutase"
30030,Glutamine synthetase
30031,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
30032,Glutamine--tRNA ligase
30033,Glutamyl-tRNA reductase
30034,Glutathione hydrolase proenzyme [Cleaved into: large chain; small chain]
30035,Glutathione synthetase
30036,Glutathione-disulfide reductase
30037,Glyceraldehyde-3-phosphate dehydrogenase
30038,Glycerate kinase I
30039,Glycerol kinase
30040,Glycerol-3-phosphate acyltransferase
30041,Glycerol-3-phosphate dehydrogenase
30042,Glycerol-3-phosphate dehydrogenase [NAD+] -dependent dehydrogenase) H-dependent dihydroxyacetone-phosphate reductase)
30043,Glycine dehydrogenase )
30044,Glycine--tRNA ligase alpha subunit
30045,Glycosidase
30046,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"
30047,Guanosine-inosine kinase
30048,Guanylate kinase
30049,Haloalkane dehalogenase
30050,Histidine ammonia-lyase
30051,Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase ; Imidazoleglycerol-phosphate dehydratase ]
30052,Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase ; Phosphoribosyl-ATP pyrophosphatase ]
30053,Histidine--tRNA ligase
30054,Histidinol dehydrogenase
30055,Histidinol-phosphate aminotransferase
30056,Holo-[acyl-carrier-protein] synthase
30057,"Homogentisate 1,2-dioxygenase"
30058,Homoserine O-succinyltransferase
30059,Homoserine kinase
30060,Hydroxyacylglutathione hydrolase
30061,Hydroxylamine reductase
30062,Hypoxanthine phosphoribosyltransferase
30063,Imidazole glycerol phosphate synthase subunit HisH
30064,Imidazolonepropionase
30065,Inosine-5'-monophosphate dehydrogenase
30066,Inositol-1-monophosphatase
30067,Isochorismate synthase MenF
30068,Isocitrate dehydrogenase
30069,Isocitrate dehydrogenase [NADP]
30070,Isocitrate lyase
30071,Isoleucine--tRNA ligase
30072,Isoquinoline 1-oxidoreductase subunit alpha
30073,"Isovaleryl-CoA dehydrogenase, mitochondrial"
30074,Ketol-acid reductoisomerase )
30075,"L-allo-threonine aldolase, PLP-dependent"
30076,L-arabinose isomerase
30077,L-aspartate oxidase
30078,L-lysine 6-monooxygenase
30079,L-methionine gamma-lyase
30080,L-ribulose-5-phosphate 4-epimerase
30081,L-serine dehydratase
30082,L-seryl-tRNA selenium transferase synthase)
30083,L-threonine 3-dehydrogenase
30084,L-threonine dehydratase
30085,Lactate dehydrogenase
30086,Lactate dehydrogenase-like oxidoreductase
30087,Lactoylglutathione lyase
30088,"Lead, cadmium, zinc and mercury transporting ATPase copper-translocating P-type"
30089,"Lead, cadmium, zinc and mercury-transporting ATPase"
30090,Leucine dehydrogenase
30091,Leucine--tRNA ligase
30092,Leucyl/phenylalanyl-tRNA--protein transferase
30093,LexA repressor
30094,Lipid A biosynthesis acyltransferase -lauroyl-lipid IV acyltransferase)
30095,Lipid A biosynthesis acyltransferase -lipid IV acyltransferase)
30096,Lipid-A-disaccharide synthase
30097,Lipoprotein signal peptidase
30098,Lipoyl synthase
30099,Lon protease
30100,Long-chain-fatty-acid--CoA ligase
30101,Lysine--tRNA ligase
30102,Lysophospholipase
30103,Malate dehydrogenase
30104,Malate synthase G
30105,Maleylacetoacetate isomerase
30106,Malic enzyme
30107,Malonyl CoA-acyl carrier protein transacylase
30108,Maltose O-acetyltransferase
30109,Mercuric reductase reductase)
30110,Metal-dependent carboxypeptidase
30111,Methionine aminopeptidase
30112,Methionine gamma-lyase
30113,Methionine synthase
30114,Methionine--tRNA ligase
30115,Methionyl-tRNA formyltransferase
30116,Methylated-DNA--protein-cysteine methyltransferase
30117,Methylglutaconyl-CoA hydratase
30118,Molybdenum cofactor guanylyltransferase
30119,Molybdopterin adenylyltransferase
30120,Molybdopterin molybdenumtransferase
30121,Molybdopterin synthase catalytic subunit
30122,"Multifunctional CCA protein [Includes: CCA-adding enzyme ; 2'-nucleotidase 2',3'-cyclic phosphodiesterase Phosphatase ]"
30123,Multifunctional fusion protein [Includes: Indole-3-glycerol phosphate synthase ; N-anthranilate isomerase Anthranilate phosphoribosyltransferase ]
30124,Multifunctional fusion protein [Includes: Indole-3-glycerol phosphate synthase ; N-anthranilate isomerase ]
30125,N-acetyl-gamma-glutamyl-phosphate reductase
30126,N-acetylgalactosamine-6-phosphate deacetylase
30127,N-acetylglucosamine kinase
30128,N-acetylmuramoyl-L-alanine amidase
30129,N-acetylneuraminate synthase
30130,N-succinylarginine dihydrolase
30131,N-succinylglutamate 5-semialdehyde dehydrogenase
30132,N5-carboxyaminoimidazole ribonucleotide mutase imidazole mutase)
30133,N5-carboxyaminoimidazole ribonucleotide synthase imidazole synthetase)
30134,NAD kinase
30135,NAD-dependent aldehyde dehydrogenase
30136,NAD-dependent malic enzyme
30137,"NADH dehydrogenase, FAD-containing subunit"
30138,NADH-flavin reductase
30139,NADPH-dependent 7-cyano-7-deazaguanine reductase reductase)
30140,NH-dependent NAD synthetase
30141,Nicotinamide-nucleotide amidohydrolase PncC
30142,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase -alpha-phosphoribosyltransferase)
30143,Nitric oxide reductase subunit B
30144,Nucleoside diphosphate kinase
30145,Nucleoside triphosphate pyrophosphohydrolase
30146,O-acetylhomoserine aminocarboxypropyltransferase
30147,O-succinylbenzoate--CoA ligase
30148,Octanoyltransferase
30149,Octaprenyl diphosphate synthase
30150,Oligoendopeptidase F
30151,Oligopeptidase B
30152,Ornithine carbamoyltransferase
30153,Orotate phosphoribosyltransferase
30154,Orotidine 5'-phosphate decarboxylase
30155,Oxaloacetate decarboxylase alpha chain
30156,Oxygen-dependent coproporphyrinogen-III oxidase
30157,Oxygen-insensitive NADH nitroreductase
30158,"PTS system, glucose-specific IIB component / IIC"
30159,Pantothenate kinase
30160,Pantothenate synthetase
30161,Para-aminobenzoate synthase glutamine amidotransferase component II
30162,Penicilin amidase
30163,Peptidase E
30164,Peptide deformylase
30165,Peptide methionine sulfoxide reductase MsrA -S-oxide reductase)
30166,Peptide methionine sulfoxide reductase MsrB -S-oxide reductase)
30167,Peptidoglycan glycosyltransferase
30168,Peptidyl-tRNA hydrolase
30169,Peroxiredoxin C
30170,Phenylalanine--tRNA ligase alpha subunit
30171,Phenylalanine-4-hydroxylase
30172,Phosphate acetyltransferase
30173,Phosphate import ATP-binding protein PstB 3
30174,Phosphatidate cytidylyltransferase
30175,Phosphatidylglycerol lysyltransferase
30176,Phosphatidylglycerophosphatase A
30177,Phosphatidylserine decarboxylase proenzyme [Cleaved into: alpha chain; beta chain]
30178,Phospho-2-dehydro-3-deoxyheptonate aldolase
30179,Phospho-N-acetylmuramoyl-pentapeptide-transferase
30180,Phosphoadenosine 5'-phosphosulfate reductase
30181,Phosphoenolpyruvate carboxykinase
30182,Phosphoenolpyruvate carboxylase
30183,Phosphoenolpyruvate synthase
30184,Phosphoenolpyruvate-protein phosphotransferase
30185,Phosphoglucomutase
30186,Phosphogluconate dehydratase
30187,Phosphoglucosamine mutase 2
30188,Phosphoglycerate kinase
30189,Phosphoglycolate phosphatase
30190,Phosphoketolase
30191,Phospholipase A1
30192,Phosphomethylpyrimidine kinase
30193,Phosphomethylpyrimidine synthase
30194,Phosphopantetheine adenylyltransferase
30195,Phosphopentomutase
30196,Phosphoribosylamine--glycine ligase
30197,Phosphoribosylaminoimidazole-succinocarboxamide synthase
30198,Phosphoribosylformylglycinamidine cyclo-ligase
30199,Phosphoribosylformylglycinamidine synthase
30200,Phosphoribosylglycinamide formyltransferase
30201,Phosphoribulokinase
30202,Phosphoserine aminotransferase
30203,Phosphoserine phosphatase
30204,Pimeloyl-[acyl-carrier protein] methyl ester esterase
30205,Poly polymerase I
30206,Polyamine aminopropyltransferase
30207,Polyphosphate kinase
30208,Polyribonucleotide nucleotidyltransferase
30209,Porphobilinogen deaminase
30210,Prepilin leader peptidase/N-methyltransferase
30211,Probable chorismate pyruvate-lyase
30212,Probable cytosol aminopeptidase
30213,Probable deoxyguanosinetriphosphate triphosphohydrolase
30214,Probable nicotinate-nucleotide adenylyltransferase diphosphorylase) pyrophosphorylase)
30215,Probable phosphomannomutase
30216,Proline iminopeptidase
30217,Proline--tRNA ligase
30218,Propionyl-CoA synthetase
30219,Protein-L-isoaspartate O-methyltransferase
30220,Protein-glutamate methylesterase/protein-glutamine glutaminase
30221,Protein-glutamate methylesterase/protein-glutamine glutaminase 1
30222,Protoporphyrinogen IX dehydrogenase [quinone]
30223,"Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
30224,Putative SAM-dependent methyltransferase
30225,Putative agmatine deiminase
30226,Putative copper-importing P-type ATPase A
30227,Putative glucose-6-phosphate 1-epimerase
30228,Putative pterin-4-alpha-carbinolamine dehydratase
30229,Pyridoxine 5'-phosphate synthase
30230,Pyridoxine/pyridoxamine 5'-phosphate oxidase
30231,Pyrimidine/purine nucleoside phosphorylase
30232,Pyrroline-5-carboxylate reductase
30233,Pyruvate dehydrogenase E1 component
30234,Pyruvate formate-lyase-activating enzyme
30235,Pyruvate kinase
30236,Queuine tRNA-ribosyltransferase
30237,Quinolinate synthase
30238,RecBCD enzyme subunit RecB
30239,Release factor glutamine methyltransferase MTase PrmC)
30240,Respiratory nitrate reductase subunit gamma
30241,Rhodanese-related sulfurtransferase
30242,Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase ; 5-amino-6-uracil reductase ]
30243,Riboflavin biosynthesis protein [Includes: kinase ; FMN adenylyltransferase ]
30244,Riboflavin synthase
30245,Ribokinase
30246,Ribonuclease 3
30247,Ribonuclease D
30248,Ribonuclease E
30249,Ribonuclease HII
30250,Ribonuclease P protein component
30251,Ribonuclease PH
30252,Ribonucleoside-diphosphate reductase
30253,Ribose-5-phosphate isomerase A
30254,Ribose-phosphate pyrophosphokinase
30255,Ribosomal RNA large subunit methyltransferase E -methyltransferase)
30256,Ribosomal RNA large subunit methyltransferase F
30257,Ribosomal RNA large subunit methyltransferase H -methyltransferase) -methyltransferase RlmH)
30258,Ribosomal RNA large subunit methyltransferase I -)-methyltransferase RlmI)
30259,Ribosomal RNA large subunit methyltransferase J -N6)-methyltransferase)
30260,Ribosomal RNA large subunit methyltransferase K/L [Includes: 23S rRNA m2G2445 -)-methyltransferase RlmL); m7G2069 RlmK)]
30261,Ribosomal RNA large subunit methyltransferase M -methyltransferase)
30262,Ribosomal RNA small subunit methyltransferase A -N/adenine-N)-dimethyltransferase) dimethyltransferase)
30263,Ribosomal RNA small subunit methyltransferase C -)-methyltransferase RsmC)
30264,Ribosomal RNA small subunit methyltransferase D
30265,Ribosomal RNA small subunit methyltransferase E
30266,Ribosomal RNA small subunit methyltransferase F -)-methyltransferase RsmF)
30267,Ribosomal RNA small subunit methyltransferase G
30268,Ribosomal RNA small subunit methyltransferase H C1402 methyltransferase) -)-methyltransferase RsmH)
30269,Ribosomal RNA small subunit methyltransferase I -methyltransferase RsmI)
30270,Ribosomal RNA small subunit methyltransferase J -)-methyltransferase)
30271,Ribosomal large subunit pseudouridine synthase B synthase)
30272,Ribosomal protein uL3 glutamine methyltransferase
30273,Ribosomal protein uS12 methylthiotransferase RimO )-methylthiotransferase)
30274,Ribulokinase
30275,Ribulose-phosphate 3-epimerase
30276,S-adenosylmethionine synthase
30277,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
30278,S-formylglutathione hydrolase
30279,S-glutathione dehydrogenase
30280,S-ribosylhomocysteine lyase
30281,"Selenide, water dikinase"
30282,Serine hydroxymethyltransferase
30283,Serine--tRNA ligase synthetase)
30284,Shikimate dehydrogenase )
30285,Shikimate kinase
30286,Signal peptidase I
30287,Site-specific DNA-methyltransferase
30288,"Sortase, marine proteobacterial type"
30289,Stearoyl-CoA 9-desaturase
30290,Stress response kinase A
30291,Succinate dehydrogenase flavoprotein subunit
30292,Succinate semialdehyde dehydrogenase
30293,Succinate--CoA ligase [ADP-forming] subunit beta
30294,Succinate-semialdehyde dehydrogenase )
30295,Succinyl-diaminopimelate desuccinylase
30296,Succinylglutamate desuccinylase
30297,Sucrose phosphorylase
30298,Sulfate adenylyltransferase subunit 2
30299,Sulfate/thiosulfate import ATP-binding protein CysA
30300,Sulfite reductase [NADPH] hemoprotein beta-component
30301,Sulfur carrier protein ThiS adenylyltransferase
30302,Superoxide dismutase
30303,T-protein [Includes: Chorismate mutase ; Prephenate dehydrogenase ]
30304,Tetraacyldisaccharide 4'-kinase
30305,Thiamine-monophosphate kinase
30306,Thiamine-phosphate synthase
30307,Thiazole synthase
30308,Thiol:disulfide interchange protein DsbD
30309,Thiopurine S-methyltransferase
30310,Thioredoxin reductase
30311,Thiosulfate sulfurtransferase GlpE
30312,Threonine synthase
30313,Threonine--tRNA ligase
30314,Threonylcarbamoyl-AMP synthase A37 threonylcarbamoyladenosine biosynthesis protein TsaC)
30315,Thymidine kinase
30316,Thymidine phosphorylase
30317,Thymidylate kinase
30318,Thymidylate synthase
30319,Transaldolase
30320,Transketolase
30321,Trimethylamine-N-oxide reductase
30322,Triosephosphate isomerase
30323,Tryptophan synthase beta chain
30324,Tryptophan--tRNA ligase
30325,Type I restriction enzyme endonuclease subunit
30326,Tyrosine lyase ThiH
30327,Tyrosine--tRNA ligase
30328,"UDP-2,3-diacylglucosamine hydrolase"
30329,UDP-3-O-acyl-N-acetylglucosamine deacetylase
30330,UDP-3-O-acylglucosamine N-acyltransferase
30331,UDP-N-acetylenolpyruvoylglucosamine reductase
30332,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
30333,"UDP-N-acetylglucosamine 4,6-dehydratase"
30334,UDP-N-acetylglucosamine--N-acetylmuramyl- pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
30335,UDP-N-acetylmuramate--L-alanine ligase
30336,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase"
30337,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
30338,UDP-N-acetylmuramoylalanine--D-glutamate ligase
30339,UDP-glucose 4-epimerase
30340,UDP-glucose 6-dehydrogenase
30341,UDP-glucuronate 4-epimerase WcvA
30342,UTP--glucose-1-phosphate uridylyltransferase
30343,"Ubiquinol-cytochrome c reductase, cytochrome c1"
30344,Ubiquinone biosynthesis O-methyltransferase
30345,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
30346,Uncharacterized protein
30347,Undecaprenyl-diphosphatase
30348,Uracil phosphoribosyltransferase
30349,Uracil-DNA glycosylase
30350,Uridine kinase
30351,Uridylate kinase
30352,Urocanate hydratase
30353,Urocanate reductase
30354,Uroporphyrinogen decarboxylase
30355,Uroporphyrinogen-III synthase
30356,Valine--pyruvate transaminase
30357,Valine--tRNA ligase
30358,Xaa-Pro aminopeptidase
30359,Xaa-Pro dipeptidase
30360,Zinc metalloprotease
30361,Zn-dependent oligopeptidase
30362,"Zn-dependent oxidoreductase, NADPH:quinone reductase"
30363,alanine transaminase
30364,asparaginase
30365,asparagine synthase
30366,chitinase
30367,dCTP deaminase
30368,dITP/XTP pyrophosphatase
30369,"dTDP-4-dehydrorhamnose 3,5-epimerase"
30370,dTDP-4-dehydrorhamnose reductase
30371,"dTDP-glucose 4,6-dehydratase"
30372,ferredoxin--NADP reductase
30373,glutathione transferase
30374,glycerophosphodiester phosphodiesterase
30375,histidine kinase
30376,hydroxymethylglutaryl-CoA lyase
30377,inorganic diphosphatase
30378,malonyl-[acyl-carrier protein] O-methyltransferase
30379,methylmalonate-semialdehyde dehydrogenase
30380,nicotinate-nucleotide diphosphorylase
30381,o-succinylbenzoate synthase -4-oxybutyric acid synthase)
30382,oligopeptidase A
30383,ornithine decarboxylase
30384,oxoglutarate dehydrogenase
30385,precorrin-2 dehydrogenase
30386,prephenate dehydratase
30387,prolyl oligopeptidase
30388,protein-tyrosine-phosphatase
30389,serine O-acetyltransferase
30390,starch synthase
30391,tRNA -)-methyltransferase
30392,tRNA -)-methyltransferase -N)-methyltransferase) -methyltransferase)
30393,tRNA -2'-O)-methyltransferase -methyltransferase TrmL)
30394,tRNA -methyltransferase TrmJ /uridine-2'-O)-methyltransferase)
30395,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC sU protein) [Includes: sU34)-methyltransferase ; FAD-dependent cmnmsU34 oxidoreductase ]
30396,tRNA N6-adenosine threonylcarbamoyltransferase A synthase) A37 threonylcarbamoyladenosine biosynthesis protein TsaD)
30397,tRNA dimethylallyltransferase
30398,tRNA pseudouridine synthase A synthase)
30399,tRNA pseudouridine synthase B synthase)
30400,tRNA pseudouridine synthase C synthase)
30401,tRNA pseudouridine synthase D synthase)
30402,tRNA-2-methylthio-N-dimethylallyladenosine synthase adenosine tRNA methylthiotransferase MiaB) A37 methylthiotransferase)
30403,tRNA-lysidine synthase -2-lysyl-cytidine synthase) -lysidine synthetase)
30404,tRNA-specific adenosine deaminase
30405,tRNA/tmRNA )-methyltransferase -C)-methyltransferase) -methyltransferase)
30406,tRNA1 -N6)-methyltransferase
30407,uroporphyrinogen-III C-methyltransferase
30408,1--5-[methylideneamino] imidazole-4-carboxamide isomerase
30409,1-deoxy-D-xylulose 5-phosphate reductoisomerase
30410,1-deoxy-D-xylulose-5-phosphate synthase
30411,16S rRNA -C)-methyltransferase -)-methyltransferase RsmB)
30412,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
30413,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
30414,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
30415,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
30416,2-amino-3-ketobutyrate coenzyme A ligase
30417,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
30418,2-methylisocitrate lyase -2-methylisocitrate lyase)
30419,23S rRNA -C)-methyltransferase RlmD -methyltransferase)
30420,23S rRNA -methyltransferase RlmB -methyltransferase)
30421,"3',5'-bisphosphate nucleotidase CysQ ,5-bisphosphonucleoside 3'-phosphohydrolase)"
30422,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
30423,3-dehydroquinate dehydratase
30424,3-dehydroquinate synthase
30425,3-deoxy-8-phosphooctulonate synthase
30426,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
30427,3-deoxy-D-manno-octulosonic acid kinase
30428,3-deoxy-D-manno-octulosonic acid transferase)
30429,3-deoxy-manno-octulosonate cytidylyltransferase
30430,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ -hydroxymyristoyl-[acyl-carrier-protein] dehydratase) -hydroxymyristoyl-ACP dehydrase)
30431,"3-hydroxyanthranilate 3,4-dioxygenase"
30432,3-methyl-2-oxobutanoate dehydrogenase
30433,3-methyl-2-oxobutanoate hydroxymethyltransferase
30434,3-oxoacyl-[acyl-carrier-protein] reductase
30435,3-oxoacyl-[acyl-carrier-protein] synthase 2
30436,3-phosphoshikimate 1-carboxyvinyltransferase
30437,4-aminobutyrate--2-oxoglutarate transaminase
30438,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase -2-C-methyl-D-erythritol kinase)
30439,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase -butenyl 4-diphosphate synthase)
30440,4-hydroxy-tetrahydrodipicolinate reductase
30441,4-hydroxy-tetrahydrodipicolinate synthase
30442,4-hydroxybenzoate octaprenyltransferase
30443,4-hydroxyphenylpyruvate dioxygenase
30444,4-hydroxythreonine-4-phosphate dehydrogenase -L-threonine dehydrogenase)
30445,5'-nucleotidase SurE
30446,5-formyltetrahydrofolate cyclo-ligase
30447,50S ribosomal protein L3 N-glutamine methyltransferase
30448,"6,7-dimethyl-8-ribityllumazine synthase"
30449,7-carboxy-7-deazaguanine synthase
30450,7-cyano-7-deazaguanine synthase)
30451,8-amino-7-oxononanoate synthase
30452,8-oxo-dGTP diphosphatase
30453,AMP nucleosidase
30454,ATP phosphoribosyltransferase
30455,ATP-dependent Clp protease proteolytic subunit
30456,ATP-dependent RNA helicase RhlB
30457,ATP-dependent dethiobiotin synthetase BioD
30458,ATP-dependent protease subunit HslV
30459,Acetyl-CoA C-acetyltransferase
30460,Acetyl-coenzyme A synthetase
30461,Acetylglutamate kinase
30462,Acireductone dioxygenase -requiring))
30463,Aconitate hydratase
30464,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
30465,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
30466,Adenylate kinase
30467,Adenylosuccinate lyase
30468,Adenylosuccinate synthetase
30469,Alanine racemase
30470,Alanine--tRNA ligase
30471,Alkaline phosphatase
30472,Amidase
30473,Amidophosphoribosyltransferase
30474,Aminodeoxychorismate lyase
30475,Aminomethyltransferase
30476,Aminopeptidase N
30477,Anhydro-N-acetylmuramic acid kinase
30478,Anthranilate phosphoribosyltransferase
30479,Anthranilate synthase component 1
30480,Arabinose 5-phosphate isomerase
30481,Arginase
30482,Arginine--tRNA ligase
30483,Argininosuccinate lyase
30484,Asparaginase
30485,Asparagine--tRNA ligase
30486,Aspartate 1-decarboxylase [Cleaved into: beta chain; alpha chain]
30487,Aspartate carbamoyltransferase
30488,Aspartate--tRNA ligase
30489,Aspartate-semialdehyde dehydrogenase
30490,Bacterioferritin
30491,Beta-ketoacyl-[acyl-carrier-protein] synthase III
30492,Bifunctional NADH-hydrate repair enzyme [Includes: ADP-dependent -NADH-hydrate dehydratase HX dehydratase); epimerase ]
30493,Bifunctional chorismate mutase/prephenate dehydratase
30494,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme [Includes: adenylyl-L-tyrosine phosphorylase ; adenylyl transferase ]
30495,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase ]
30496,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase ; Glucosamine-1-phosphate N-acetyltransferase ]
30497,Bifunctional protein PutA [Includes: Proline dehydrogenase ; Delta-1-pyrroline-5-carboxylate ]
30498,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase ; IMP cyclohydrolase ]
30499,Bifunctional uridylyltransferase/uridylyl-removing enzyme [Includes: [Protein-PII] uridylyltransferase ; [Protein-PII]-UMP uridylyl-removing ]
30500,Biosynthetic arginine decarboxylase
30501,Biotin carboxylase
30502,Biotin synthase
30503,Branched-chain-amino-acid aminotransferase
30504,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
30505,CTP synthase
30506,Carbamoyl phosphate synthase small chain
30507,Carboxy terminal-processing peptidase
30508,Catalase-peroxidase
30509,Choline dehydrogenase
30510,Chorismate synthase
